url	download_complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/inductees.php	complete
www.ics.uci.edu/%7Ethornton/TournamentResults.html	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHuvecH3k27acStdAlnRep2.REF_chr19.bam	complete
www.ics.uci.edu/~dechter/publications/r196.html	complete
www.ics.uci.edu/~dechter/publications/r239.html	complete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.ics.uci.edu/alumni/hall_of_fame/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/index.php	complete
mailman.ics.uci.edu/mailman/listinfo/icsb-mjolsness-tutorial	complete
mailman.ics.uci.edu/mailman/admin/cypress	complete
www.ics.uci.edu/~ziv/ooad/classes/index.htm	complete
www.ics.uci.edu/community/news/spotlight_vuong.php	complete
www.ics.uci.edu/alumni/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/inductees.php	complete
www.ics.uci.edu/~wscacchi/ProSim-1998	complete
www.ics.uci.edu/~maheshmn/eCACTI/howto.htm	complete
www.ics.uci.edu/community/events/openhouse/index.html	complete
mailman.ics.uci.edu/mailman/listinfo/cypress	complete
www.ics.uci.edu/%7Emagda/ics_232P/announceP.html	complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/inductees.php	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
www.ics.uci.edu/~kay/python/RPList.py	complete
emj.ics.uci.edu/teaching	complete
grape.ics.uci.edu/wiki/asterix/wiki/TitleIndex	complete
www.ics.uci.edu/~dechter/publications/r168.html	complete
www.ics.uci.edu/~stasio/Papers/jsy04-abs.html	complete
vision.ics.uci.edu/papers/GhiasiF_ECCV_2016	complete
www.ics.uci.edu/about/visit_fromLAX.php	complete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	complete
cml.ics.uci.edu/2007/08/2007_jcdl	complete
www.ics.uci.edu/~redmiles/ics125-FQ01/assignment2.html	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
www.ics.uci.edu/~bdonyana	complete
computableplant.ics.uci.edu/gallery/gallery.html	complete
www.ics.uci.edu/~alfchen	complete
isg.ics.uci.edu/events.html	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHsmmH2azStdAlnRep2.REF_chr19.bam	complete
www.ics.uci.edu/~dechter/publications/r112.html	complete
www.ics.uci.edu/~wengl	complete
vision.ics.uci.edu/people/12.html	complete
www.ics.uci.edu/policies/index.php	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneGm12878H3k4me1StdAlnRep1.REF_chr19.bam	complete
www.ics.uci.edu/genealogy	complete
www.ics.uci.edu/community/news/spotlight_judith_olson_2013_outstanding_mentoring_award.php	complete
www.ics.uci.edu/~dechter/publications/r30.html	complete
www.ics.uci.edu/%7Erjuang	complete
www.ics.uci.edu/%7Emagda/Courses/ics167/port.h	complete
www.ics.uci.edu/%7Emagda/ics_x33/scheduleG.html	complete
www.ics.uci.edu/%7Ewics/links.html	complete
cbcl.ics.uci.edu/public_data/SREBP1/raw_data	complete
www.ics.uci.edu/~redmiles/inf143-SQ09/links.html	complete
www.ics.uci.edu/teachingics.html	complete
www.ics.uci.edu/employ_faculty.php	complete
www.ics.uci.edu/~ziv/ooad/classes/sld016.htm	complete
www.ics.uci.edu/~dechter/publications/r38.html	complete
www.ics.uci.edu/~dvk/GDF	complete
www.ics.uci.edu/community/news/spotlight/spotlight_russell.php	complete
www.ics.uci.edu/~iftekha/publication/on-the-limits-of-mutation-reduction-strategies	complete
www.ics.uci.edu/~stasio/fall04/reading.html	complete
www.ics.uci.edu/faculty/area_privacy.php	complete
vision.ics.uci.edu/people/28.html	complete
www.ics.uci.edu/~dechter/publications/r222.html	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHsmmH3k79me2StdAlnRep2.REF_chr19.bam	complete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Emma_Anderson.php	complete
www.ics.uci.edu/~dechter/publications/r165.html	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019	complete
swiki.ics.uci.edu/doku.php/brownbags	complete
mailman.ics.uci.edu/mailman/listinfo/mlrg	complete
cbcl.ics.uci.edu/doku.php/start	complete
www.ics.uci.edu/community/events/minsky/index.php	complete
www.ics.uci.edu/statistics/faculty	complete
www.ics.uci.edu/~lab/students	complete
www.ics.uci.edu/ics21	complete
sherlock.ics.uci.edu/people.html	complete
mhcid.ics.uci.edu/people/current-students	complete
www.ics.uci.edu/labs_specs/index.php	complete
www.ics.uci.edu/~yyang8	complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/index.php	complete
vision.ics.uci.edu/papers/FowlkesMM_CVPR_2003	complete
www.graphics.ics.uci.edu/PA\Images	complete
www.ics.uci.edu/~ziv/diss/conclusionpaper/node5.html	complete
www.ics.uci.edu/~sternh/courses/rats_hierbetabinom.R	complete
www.ics.uci.edu/~schark/krish/sigmetrics96.ps.Z	complete
sdcl.ics.uci.edu/research	complete
www.ics.uci.edu/~dechter/publications/r253.html	complete
www.ics.uci.edu/%7Emajumder/VC/new-assn/img-gallery	complete
www.ics.uci.edu/~dechter/publications/r187.html	complete
www.ics.uci.edu/faculty/area_network.php	complete
cbcl.ics.uci.edu/public_data/SREBP2.peaks.bed	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHepg2H3k27me3StdAlnRep2.REF_chr19.bam	complete
www.ics.uci.edu/community/news/spotlight_bortis.php	incomplete
sdcl.ics.uci.edu/opportunities	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
www.ics.uci.edu/community/news/spotlight_diazgutierrez.php	complete
www.ics.uci.edu/pub/arch/argo.html	complete
www.ics.uci.edu/grad/funding	complete
iasl.ics.uci.edu/projects	complete
www.ics.uci.edu/~sjordan	complete
mailman.ics.uci.edu/mailman/private/hanalab-researchers	complete
www.ics.uci.edu/AlumniPhotos	complete
cml.ics.uci.edu/books	complete
www.ics.uci.edu/about/search/search_business.php	complete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
vision.ics.uci.edu/people/29.html	complete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHepg2H3k27me3StdAlnRep1.REF_chr19.bam	complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/stayconnected/hall_of_fame	complete
www.ics.uci.edu/address.html	complete
www.ics.uci.edu/%7elab/labs_specs/hardware.php	complete
www.ics.uci.edu/about/annualreport/index.php	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHsmmtH3k4me2StdAlnRep1.REF_chr19.bam	complete
sdcl.ics.uci.edu/2016/01/congratulations-lee-martie	complete
futurehealth.ics.uci.edu/health	incomplete
www.ics.uci.edu/community/alumni/index.php/stayconnected/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame	complete
www.ics.uci.edu/~thornton/ics22/SettingUpJava.html	complete
www.ics.uci.edu/grad/admissions/index	complete
www.ics.uci.edu/overview.htm	complete
www.ics.uci.edu/computerscience/news/news_2007.php	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHuvecH3k36me3StdAlnRep1.REF_chr19.bam	complete
duttgroup.ics.uci.edu/author/slabbaf	complete
www.ics.uci.edu/Nalini	complete
www.ics.uci.edu/~dechter/publications/r201.html	complete
www.ics.uci.edu/~stasio/Papers/cjkt04-abs.html	complete
cml.ics.uci.edu/2016/01/winter-2016	complete
mailman.ics.uci.edu/mailman/admin/crick	complete
www.ics.uci.edu/~dechter/publications/r211.html	complete
vision.ics.uci.edu/papers/YarkonyF_NIPS_2015	complete
www.ics.uci.edu/~dgillen	complete
www.ics.uci.edu/~peiyunh	complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/hall_of_fame/stayconnected/index.php	complete
www.ics.uci.edu/~sternh/courses/hw2solR.html	complete
www.ics.uci.edu/dir/grad/Software/jshaw	complete
www.ics.uci.edu/about/annualreport/2005-06/index.php	complete
www.ics.uci.edu/lab_assistants/index.php	complete
computableplant.ics.uci.edu/sw/clsmtools	complete
www.ics.uci.edu/~dechter/publications/r240.html	complete
mailman.ics.uci.edu/pipermail/mlrg	complete
www.ics.uci.edu/lab_schedule/index.php	complete
www.ics.uci.edu/../grad/index.php	complete
www.ics.uci.edu/~kay/courses/i41/answers.html	complete
www.ics.uci.edu/~redmiles/ics203b-SQ05/schedule.html	complete
www.ics.uci.edu/alumni/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/inductees.php	complete
www.ics.uci.edu/classification	complete
www.ics.uci.edu/community/news/blog_posts/Ittai-Mann-December2017.php	complete
www.ics.uci.edu/../community/scholarships/index.php	complete
www.ics.uci.edu/community/alumni/index.php/stayconnected/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/stayconnected	incomplete
www.ics.uci.edu/alumni/stayconnected/hall_of_fame/stayconnected/stayconnected/index.php	complete
computableplant.ics.uci.edu/links.html	complete
www.ics.uci.edu/~dvk/pub/ICDE09_dvk_demo.html	complete
mhcid.ics.uci.edu/admissions/admissions-overview/applicant-portfolio	complete
www.ics.uci.edu/ugrad/resources/index	complete
www.ics.uci.edu/~dechter/publications/r180.html	complete
www.ics.uci.edu/%7elab/proj_ics/grp_acct.php	complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/stayconnected	complete
sdcl.ics.uci.edu/research/crowd-development	complete
www.ics.uci.edu/~redmiles/inf143-SQ09/schedule.html	complete
mailman.ics.uci.edu/mailman/listinfo/theory-seminar	complete
cml.ics.uci.edu/2015/05/center-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions	complete
www.ics.uci.edu/ugrad/advising/New International Students.php	complete
www.ics.uci.edu/~dechter/publications/r42.html	complete
www.ics.uci.edu/community	complete
www.ics.uci.edu/~kay/courses/i42/hw/hw6.html	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneK562H3k36me3StdAlnRep1.REF_chr19.bam	complete
www.ics.uci.edu/~rostami1	complete
www.ics.uci.edu/~dechter/publications/r215.html	complete
cml.ics.uci.edu/tag/news/page/3	complete
cml.ics.uci.edu/tag/news/page/2	complete
www.ics.uci.edu/~dechter/publications/r192.html	complete
www.ics.uci.edu/dir/grad/Software/garywong	complete
www.ics.uci.edu/../about/annualreport/index.php	complete
cml.ics.uci.edu/tag/news/page/4	complete
www.ics.uci.edu/community/news/student_blogs/index.php	complete
www.ics.uci.edu/~thornton/LabManual/Assignment3	complete
www.ics.uci.edu/~thornton/LabManual/Assignment2	complete
www.ics.uci.edu/~thornton/LabManual/Assignment5	complete
www.ics.uci.edu/~thornton/LabManual/Assignment4	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneHepg2H3k79me2StdAlnRep2.REF_chr19.bam	complete
www.ics.uci.edu/~thornton/LabManual/Assignment6	complete
www.ics.uci.edu/%7Ewics/NCWIT_Blurb.html	complete
www.ics.uci.edu/~shallman	complete
www.ics.uci.edu/~stasio/winter06/lab2/SavingsCalculatorTester.java	complete
www.ics.uci.edu/~dechter/publications/r146.html	complete
www.ics.uci.edu/~perl	complete
www.ics.uci.edu/dir/visitor/nmatsui	complete
www.ics.uci.edu/~ziv/ooad/intro_to_se/sld007.htm	complete
www.ics.uci.edu/community/alumni/index.php/stayconnected/hall_of_fame/stayconnected/stayconnected/stayconnected/index.php	complete
mailman.ics.uci.edu/mailman/private/icsb-mjolsness-tutorial	complete
www.ics.uci.edu/community/alumni/index.php/stayconnected/hall_of_fame/stayconnected/stayconnected/index.php	complete
www.ics.uci.edu/~dechter/publications/r26a.html	complete
www.ics.uci.edu/%7Ethornton/LabManual/Assignment4	complete
www.ics.uci.edu/%7Ethornton/LabManual/Assignment5	complete
www.ics.uci.edu/%7Ethornton/LabManual/Assignment6	complete
www.ics.uci.edu/~wscacchi/SE-Encyc	complete
www.ics.uci.edu/~dechter/publications/r197.html	complete
www.ics.uci.edu/238P/2018winter/index.html	complete
www.ics.uci.edu/%7Ethornton/LabManual/Assignment3	complete
mcs.ics.uci.edu/about/course-descriptions	complete
www.ics.uci.edu/~redmiles/ics125-FQ01	complete
www.ics.uci.edu/computing/windows/dropboxes/dropboxes_faq.php	incomplete
www.ics.uci.edu/~dechter/publications/r119.html	complete
www.ics.uci.edu/ugrad/sao/Course_updates.php	complete
www.ics.uci.edu/~dechter/publications/r134.html	complete
www.ics.uci.edu/~jsupanci	complete
www.ics.uci.edu/~ziv/diss/conclusionpaper/node11.html	complete
grape.ics.uci.edu/wiki/asterix/attachment/wiki/stats170ab-2018/postgresloading.sql	complete
cbcl.ics.uci.edu/public_data/wgEncodeBroadHistoneH1hescH3k79me2StdAlnRep2.REF_chr19.bam	complete
www.ics.uci.edu/grad/admissions	complete
www.ics.uci.edu/~thornton	complete
www.ics.uci.edu/~kay/labtutors	complete
www.ics.uci.edu/~dechter/publications/r160.html	complete
www.ics.uci.edu/about/visit	complete
computableplant.ics.uci.edu/pathwayV5.nb	complete
www.ics.uci.edu/250B/Spr13	complete
ngs.ics.uci.edu/author/ramesh	complete
